fid,id,context,species_orig_pub,taxon,cf_genus,cf_sp,cf_subsp,s_type,s_foss,s_part,frr,sample_number,quantity,entity,weight_g,s_notes,AMS,discovery_report,bibliography,context_id,taxon_id,new_taxon_id,photo,qt,precise_taxon,Family,genus,specie,note
"4649","6025",Edificio β ,Vitis vinifera,Vitis vinifera L.,,false,false,carpological,charring,unspecified,false,"0",,,,,,,"Patrizi, G.,_Rageot, M.,_Cafisso, S.,_Pennetta, A.,_Fiorini, L.,_De Benedetto, G. E.,_Spiteri, C.,_Fiorentino, G._2024_Signs of the sacred at the sanctuary of Gravisca, Italy: reconstruction of an Etruscan ritual through a multidisciplinary approach. Archaeometry","546","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4665","6037",Fossa 39,Vitis vinifera,Vitis vinifera L.,false,false,false,wood,charring,stem,true,"0","3",,,,,,"Celant, A._2011_Antracologia, utilizzazione del legno e ricostruzione paleoambientale dell’insediamento eneolitico di Selva dei Muli (Frosinone)_ORIGINI, 33_233-237","213","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4667","6040",Palatine SW - undet. (Roma Fori Imperiali),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0",11-50 ,11-50 ,,,,,"Costantini, L.,_ Giorgi, J._2001_Charred plant remains of the Archaic period from the Forum and Palatine_Journal of Roman Archaeology, 14_239-248","264","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4668","6041",Via Sacra/Forum - undet. (Roma - Fori Imperiali) - VIII-VI B.c.,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0",,1-10,,,,,"Costantini, L.,_ Giorgi, J._2001_Charred plant remains of the Archaic period from the Forum and Palatine_Journal of Roman Archaeology, 14_239-248","265","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4669","6042",Via Sacra - undet. (Roma Fori Imperiali),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0",11-50 ,11-50 ,,,,,"Costantini, L.,_ Giorgi, J._2001_Charred plant remains of the Archaic period from the Forum and Palatine_Journal of Roman Archaeology, 14_239-248","266","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4670","6043",S. Omobono - undet. (Roma Fori Imperiali),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,Unspecified,false,"0",presence only noted,presence only noted,,,,,"Costantini, L.,_ Giorgi, J._2001_Charred plant remains of the Archaic period from the Forum and Palatine_Journal of Roman Archaeology, 14_239-248","277","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4671","6045",undet. (Roma Fori Imperiali),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,Unspecified,Unspecified,false,"0",,,,,,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233","263","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4672","6046",Pit VI,Vitis vinifera,Vitis vinifera L.,false,false,false,wood,charring,stem,true,"0","2",,,,,,"Van Kampen, I.,_Rathje, A.,_Celant, A.,_Follieri, M.,_De GrossiI Mazzorin, J.,_Minniti, C._2005_The pre-Republican habitation layers of the Via sacra in Giacomo Boni’s excavation of the sepolcreto arcaico_Papers in Italian Archaeology VI, Communities and Settlements from the Neolithic to the Early Medieval Period (Vol. 1452)_745-753","288","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4673","6047",Saggio V - Livelli sottostanti la cella del Santuario della Vittoria,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,Unspecified,false,"0",,,,,,,"Coletti, F.,_Celant, A.,_Pensabene Perez, P._2006_Ricerche archeologiche e paleoambientali sul Palatino tra l’età arcaica e la tardoantichità–primi risultati_Innovazioni tecnologiche per i beni culturali in Italia. Atti del convegno Pàtron_557-564","301","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4674","6048",Saggio W - Terreni di occlusione naturale delle fogne della Domus Tiberiana,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,pip,false,"0",,,,,,,"Coletti, F.,_Celant, A.,_Pensabene Perez, P._2006_Ricerche archeologiche e paleoambientali sul Palatino tra l’età arcaica e la tardoantichità–primi risultati_Innovazioni tecnologiche per i beni culturali in Italia. Atti del convegno Pàtron_557-564","300","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4675","6049",undet. (Roma Palatino - N area) - VIII B.c.,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","67",,,,,,"Motta, L._2002_Planting the seed of Rome_Vegetation History and Archaeobotany, 11_71-78","7","9","11130",,"67",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4676","6050",undet. (Roma Palatino - N area) - VII B.c.,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","85",,,,,,"Motta, L._2002_Planting the seed of Rome_Vegetation History and Archaeobotany, 11_71-78","8","9","11130",,"85",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4677","6051",undet. (Roma Palatino - N area) - VI B.c.,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","4",,,,,,"Motta, L._2002_Planting the seed of Rome_Vegetation History and Archaeobotany, 11_71-78","9","9","11130",,"4",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4680","6052",undet. (Roma Sant'Omobono) - VI B.c.,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0",,,,,,"1974","Costantini, L.,_Costantini Biasini, L._1989_ I vegetali dell’area sacra di S. Omobono. G. Pisani Sartorio, P. Virgili et G. Ioppolo (éd.), Il viver quotidiano in Roma arcaica_Materiali dagli scavi del Tempio Arcaico nell’area sacra di S. Omobono, Rome_61-64","11","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4681","6053",undet. (Roma Sant'Omobono) - VI B.c.,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,Unspecified,Unspecified,false,"0",,,,,,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233","11","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4682","6054",Ambiente I - undet. (Roma Sant'Omobono),Vitis vinifera,Vitis vinifera L.,false,false,false,wood,charring,stem,true,"0",,,,,,"1974","Costantini, L.,_Costantini Biasini, L._1989_ I vegetali dell’area sacra di S. Omobono. G. Pisani Sartorio, P. Virgili et G. Ioppolo (éd.), Il viver quotidiano in Roma arcaica_Materiali dagli scavi del Tempio Arcaico nell’area sacra di S. Omobono, Rome_61-64","307","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4683","6059",undet. (Roma Valle del Colosseo),Vitis vinifera,Vitis vinifera L.,false,false,false,wood,waterlogging,stem,true,"0",,,,,,,"Celant, A.,_Magri, D._1999_Archaeobotanical study of a sediment core from the Colosseum valley_Riassunti 94° Congresso della Società Botanica Italiana_40","316","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4684","6060",undet. (Roma Arco di Costantino),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,pip,false,"0","1697",,,,,"1992","Celant, A.,_Altieri, A._1995_Ricerche archeobotaniche da una fossa medievale presso l’Arco di Costantino (Roma)_Giornale Botanico Italiano, 129_224-224","318","9","11130",,"1697",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4685","6061",undet. (Roma Arco di Costantino),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed ,true,"0","637",,,,,"1992","Celant, A.,_Altieri, A._1995_Ricerche archeobotaniche da una fossa medievale presso l’Arco di Costantino (Roma)_Giornale Botanico Italiano, 129_224-224","318","9","11130",,"637",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4686","6062",US 3,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,desiccation,pip,false,"0","187",,,,,"1996","Moricca, C.,_Alhaique, F.,_Barelli, L.,_Masi, A.,_Morretta, S.,_Pugliese, R.,_Sadori, L._2018_Early arrival of New World species enriching the biological assemblage of the Santi Quattro Coronati Complex (Rome, Italy)_INTERDISCIPLINARIA ARCHAEOLOGICA, 9_83-93","319","9","11130",,"187",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4687","6063",US 3,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,desiccation,pedicel,false,"0","389",,,,,"1996","Moricca, C.,_Alhaique, F.,_Barelli, L.,_Masi, A.,_Morretta, S.,_Pugliese, R.,_Sadori, L._2018_Early arrival of New World species enriching the biological assemblage of the Santi Quattro Coronati Complex (Rome, Italy)_INTERDISCIPLINARIA ARCHAEOLOGICA, 9_83-93","319","9","11130",,"389",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4688","6064",US 3,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,desiccation,tendrils,false,"0","22",,,,,"1996","Moricca, C.,_Alhaique, F.,_Barelli, L.,_Masi, A.,_Morretta, S.,_Pugliese, R.,_Sadori, L._2018_Early arrival of New World species enriching the biological assemblage of the Santi Quattro Coronati Complex (Rome, Italy)_INTERDISCIPLINARIA ARCHAEOLOGICA, 9_83-93","319","9","11130",,"22",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4689","6068",T.505 - US 15,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","40",,,,,,"Larocca, F.,_Celant, A._2004_L’occupazione arcaica e altorepubblicana. Area T. 14: risultati delle ricerche archeobotaniche_Centocelle I, Roma SDO Le indagini archeologiche_287-287","332","9","11130",,"40",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4690","6069",T.505 - US 17,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","89",,,,,,"Larocca, F.,_Celant, A._2004_L’occupazione arcaica e altorepubblicana. Area T. 14: risultati delle ricerche archeobotaniche_Centocelle I, Roma SDO Le indagini archeologiche_287-287","337","9","11130",,"89",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4691","6070",T.505 - US 18,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","60",,,,,,"Larocca, F.,_Celant, A._2004_L’occupazione arcaica e altorepubblicana. Area T. 14: risultati delle ricerche archeobotaniche_Centocelle I, Roma SDO Le indagini archeologiche_287-287","336","9","11130",,"60",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4692","6071",US 14,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,desiccation,seed,false,"0","1",,,,,,"Larocca, F.,_Celant, A._2004_L’occupazione arcaica e altorepubblicana. Area T. 14: risultati delle ricerche archeobotaniche_Centocelle I, Roma SDO Le indagini archeologiche_287-287","335","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4693","6072",Area 1 - undet. (Roma Quadrato di Torre Spaccata),Vitis vinifera,Vitis vinifera L.,false,false,false,wood,charring,stem,true,"0","3",,,,,1985-1986,"Celant, A._1995_ Macroresti vegetali del livello neolitico nell’insediamento di Quadrato di Torre Spaccata (Roma)_Origini, 10_277-286","367","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4694","6073",undet. (Roma Quadrato di Torre Spaccata) - T38S (ammasso di concotto),Vitis vinifera,Vitis vinifera L.,false,false,false,wood,charring,stem,true,"0","1",,,,,"1994","Celant, A._2002_Ricerche paleobotaniche nel villaggio eneolitico di Le Cerquete-Fianello (Maccarese, Fiumicino)_Le dune, il lago, il mare: una comunità di villaggio dell’età del Rame a Maccarese_249-252 ","372","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4695","6074",Canale Traverso - PTS5 4.60 4.66 m,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,remain,false,"0","10",,,numers of remains ca.,,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81","383","9","11130",,"10",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4696","6075",Canale Traverso - PTS5 5.76 5.81 m,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,remain,false,"0","20",,,numers of remains ca.,,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81","382","9","11130",,"20",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4697","6076",Canale Traverso - PTS5 8.50 8.55 m,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,remain,false,"0","20",,,numers of remains ca.,,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81","389","9","11130",,"20",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4698","6077",Canale Traverso - PTS5 8.55 8.60 m,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,remain,false,"0","30",,,numers of remains ca.,,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81","394","9","11130",,"30",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4699","6078",Dock - PTS13 2.70 2.82 m,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,remain,false,"0","3",,,numers of remains ca.,,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81","392","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4702","6080",fn3,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pip,false,"0","4",,,,,,"Sadori, L.,_Susanna, F._2005_Hints of economic change during the late Roman Empire period in central Italy: a study of charred plant remains from “La Fontanaccia”, near Rome_Vegetation History and Archaeobotany, 14_386-393","407","9","11130",,"4",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4703","6081",fn8,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,pip,false,"0","1",,,,,,"Sadori, L.,_Susanna, F._2005_Hints of economic change during the late Roman Empire period in central Italy: a study of charred plant remains from “La Fontanaccia”, near Rome_Vegetation History and Archaeobotany, 14_386-393","414","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4704","6082",undet. (Anguillara Sabazia Mura de Santo Stefano),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","1",,,,,,"Costantini, L.,_Costantini, L.,_Napolitano, G.,_Whitehouse, D._1983_Cereali e legumi medievali provenienti dalle mura di Santo Stefano. Anguillara Sabazia (Roma)_Archeologia Medievale, 10, 393-414","430","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4705","6083",Casa del Nostromo - US 215,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","2",,,,,,"Susanna, F.,_Enei, F._2013_Studio archeobotanico di macroresti provenienti dal sito di Santa Severa. Primi risultati. Santa Severa—Tra leggenda e realtà storica_Viterbo, Italy: Ceccarelli Editrice Srl_234-236","450","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4706","6084",Casa del Nostromo - US 283,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","1",,,,,,"Susanna, F.,_Enei, F._2013_Studio archeobotanico di macroresti provenienti dal sito di Santa Severa. Primi risultati. Santa Severa—Tra leggenda e realtà storica_Viterbo, Italy: Ceccarelli Editrice Srl_234-236","451","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4707","6085",QI,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,seed,false,"0","17",,,,,"1974","Costantini, L.,_Costantini Biasini, L._1987_Bolsena-Gran Carro. I resti vegetali. L’alimentazione nel Mondo Antico (Gli Etruschi)_Ministerio per i Beni Culturali e Ambientali: Roma, Italy_83-87","481","9","11130",,"17",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4708","6086",QII,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,seed,false,"0","51",,,,,"1974","Costantini, L.,_Costantini Biasini, L._1987_Bolsena-Gran Carro. I resti vegetali. L’alimentazione nel Mondo Antico (Gli Etruschi)_Ministerio per i Beni Culturali e Ambientali: Roma, Italy_83-87","482","9","11130",,"51",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4709","6087",QIII,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,seed,false,"0","9",,,,,"1974","Costantini, L.,_Costantini Biasini, L._1987_Bolsena-Gran Carro. I resti vegetali. L’alimentazione nel Mondo Antico (Gli Etruschi)_Ministerio per i Beni Culturali e Ambientali: Roma, Italy_83-87","483","9","11130",,"9",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4710","6088",QIV,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,seed,false,"0","43",,,,,"1974","Costantini, L.,_Costantini Biasini, L._1987_Bolsena-Gran Carro. I resti vegetali. L’alimentazione nel Mondo Antico (Gli Etruschi)_Ministerio per i Beni Culturali e Ambientali: Roma, Italy_83-87","478","9","11130",,"43",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4711","6089",Q2 - Str. 9,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","3",,,,,"1980","Costantini, L.,_Biasini, L. C.,_Scali, S._1997_Significato e limiti della ricerca archeobotanica nel sito del Gran Carro, Bolsena (Vt)_Forma lacus antique, Atti 3 Seminario di Geoarcheologia. Bollettino di Studi e Ricerche XII_39-58","479","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4712","6090",Vessel 6,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","3",,,,,"1980","Hopf, M.,_Tamburini P._1995_Determinazione dei resti vegetali del villaggio del “Gran Carro”(Lago di Bolsena, Viterbo): Scavo 1980. Il “Gran Carro” sul Lago di Bolsena (1959–1985)_Archaeologica_136-138","480","9","11130",,"3",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4713","6092",QIV,Vitis vinifera,Vitis vinifera L.,false,false,false,wood,charring,stem,true,"0","2",,,,,"1974","Costantini, L.,_Costantini Biasini, L._1987_Bolsena-Gran Carro. I resti vegetali. L’alimentazione nel Mondo Antico (Gli Etruschi)_Ministerio per i Beni Culturali e Ambientali: Roma, Italy_83-87","478","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4714","6093",undet. (Valentano Santa Maria),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,Unspecified,false,"0",,,,,,,"Sadori, L.,_Celauro, F.,_Gobbi, E.,_Masi, A.,_Paganelli, M.,_Petitti, P.,_Rossi, F.,_Sabato, D._2013_A Medieval-Renaissance picture of common and aristocratic use of plants at Valentano (northern Latium, central Italy)_Abstract IWGP_156","500","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4715","6094",wall cavity,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,Unspecified,false,"0",,,,,,,"Sadori, L.,_Celauro, F.,_Gobbi, E.,_Masi, A.,_Paganelli, M.,_Petitti, P.,_Rossi, F.,_Sabato, D._2013_A Medieval-Renaissance picture of common and aristocratic use of plants at Valentano (northern Latium, central Italy)_Abstract IWGP_156","506","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4716","6095",undet. (Blera Le Pozze),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,Unspecified,Unspecified,false,"0",,,,,,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233","511","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4717","6096",Well 23,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,Unspecified,false,"0",73% of the remains in well 23,73% of the remains in well 23,,,,1986-1987,"Costantini, L.,_Giorgi, J. A._1987_Blera. I resti vegetali. L’alimentazione nel mondo antico_Gli Etruschi, Ministerio per i Beni Culturali e Ambientali 2) Ministerio per i Beni Culturali e Ambientali, Roma_83-87","512","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4718","6097",4 - US 121/1 - riempimento 121,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","1",,,,,,"Bedini, E.,_Rottoli, M.,_Fornaciari, G.,_Mallegni, F.,_Liborio, G._1997_Analisi di laboratorio. Tarquinia: testimonianze archeologiche e ricostruzione storica: scavi sistematici nell'abitato: campagne 1982-1988_Tarchna/Università degli studi di Milano 1_91-144","75","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4719","6098",US 813,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed ,true,"0","4",,,,,,"Bonghi Jovino, M.,_Bagnasco Gianni, G._2005_Offerte dal regno vegetale e dal regno animale nelle manifestazioni del sacro_atti dell'incontro di studio, Milano, 26-27 giugno 2003_113-122","515","9","11130",,"4",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4720","6099",US 814,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","2",,,,,,"Bonghi Jovino, M.,_Bagnasco Gianni, G._2005_Offerte dal regno vegetale e dal regno animale nelle manifestazioni del sacro_atti dell'incontro di studio, Milano, 26-27 giugno 2003_113-122","514","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4721","6100",US 813,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","9",,,,,,"Bonghi Jovino, M.,_Bagnasco Gianni, G._2005_Offerte dal regno vegetale e dal regno animale nelle manifestazioni del sacro_atti dell'incontro di studio, Milano, 26-27 giugno 2003_113-122","515","9","11130",,"9",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4728","6101",alpha - olla 1,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0",>1,>1,,,,,"Chiesa, F._2005_Un rituale di fondazione nell'area alpha di Tarquinia. Offerte dal regno vegetale e dal regno animale nelle manifestazioni del sacro_atti dell'incontro di studio, Milano 26-27 giugno 2003.Tarchna. Supplemento/Università degli studi di Milano 1_103-110","516","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4729","6102",alpha - olla 2,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0",>1,>1,,,,,"Chiesa, F._2005_Un rituale di fondazione nell'area alpha di Tarquinia. Offerte dal regno vegetale e dal regno animale nelle manifestazioni del sacro_atti dell'incontro di studio, Milano 26-27 giugno 2003.Tarchna. Supplemento/Università degli studi di Milano 1_103-110","517","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4730","6103",undet. (Tarquinia),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","17",,,,,,"Rottoli, M._2001_Analisi botaniche_Tarquinia Etrusca. Una nuova storia_59-61","518","9","11130",,"17",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4732","6104",Pit 27 - context 35,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","12240",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","532","9","11130",,"12240",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4733","6105",Pit 179 - context 204,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","1",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","534","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4734","6106",Pit 179 - context 204,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","1",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","534","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4735","6107",Pit 181 - context 242,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","720",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","535","9","11130",,"720",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4736","6108",Pit 181 - context 243,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0","3210",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","541","9","11130",,"3210",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4737","6109",Pit 181 - context 227 - 1390 AD,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,charring,seed,false,"0","1",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","82","9","11130",,"1",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4738","6110",Pit 181 - context 228,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,mineralization,seed,false,"0",<213 ,<213 ,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","531","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
